group_key,analysis_type,series_id,diode,sample,geometry,config,role,source_file,source_member,blank_file,integration_time,blank_integration_time,integration_time_norm_factor,wavelength_nm,signal_raw,signal_normalized,signal_net,signal_gated,transmittance,transmittance_smooth,absorbance,absorbance_smooth,scattering_net,scattering_shape,scattering_shape_smooth,valid
BX_XXX_UV_RPMS470_90deg_BSEE,scattering_shape,BX_XXX,UV,RPMS470,90deg,BSEE,scintillator,BX_XXX_UV_RPMS470_90deg_BSEE.csv.zip,BX_XXX_UV_RPMS470_90deg_BSEE.csv,,2000.0,,2000.0,199.8007812,,,,,,,,,0.0,0.0,0.0,False
BX_XXX_UV_RPMS470_90deg_BSEE,scattering_shape,BX_XXX,UV,RPMS470,90deg,BSEE,scintillator,BX_XXX_UV_RPMS470_90deg_BSEE.csv.zip,BX_XXX_UV_RPMS470_90deg_BSEE.csv,,2000.0,,2000.0,200.004776,,,,,,,,,0.0,0.0,0.0,False
BX_XXX_UV_RPMS470_90deg_BSEE,scattering_shape,BX_XXX,UV,RPMS470,90deg,BSEE,scintillator,BX_XXX_UV_RPMS470_90deg_BSEE.csv.zip,BX_XXX_UV_RPMS470_90deg_BSEE.csv,,2000.0,,2000.0,200.208786,,,,,,,,,0.0,0.0,0.0,False
BX_XXX_UV_RPMS470_90deg_BSEE,scattering_shape,BX_XXX,UV,RPMS470,90deg,BSEE,scintillator,BX_XXX_UV_RPMS470_90deg_BSEE.csv.zip,BX_XXX_UV_RPMS470_90deg_BSEE.csv,,2000.0,,2000.0,200.4128113,,,,,,,,,0.0,0.0,0.0,False
BX_XXX_UV_RPMS470_90deg_BSEE,scattering_shape,BX_XXX,UV,RPMS470,90deg,BSEE,scintillator,BX_XXX_UV_RPMS470_90deg_BSEE.csv.zip,BX_XXX_UV_RPMS470_90deg_BSEE.csv,,2000.0,,2000.0,200.6168518,,,,,,,,,0.0,0.0,0.0,False
BX_XXX_UV_RPMS470_90deg_BSEE,scattering_shape,BX_XXX,UV,RPMS470,90deg,BSEE,scintillator,BX_XXX_UV_RPMS470_90deg_BSEE.csv.zip,BX_XXX_UV_RPMS470_90deg_BSEE.csv,,2000.0,,2000.0,200.8209076,,,,,,,,,0.0,0.0,0.0,False
BX_XXX_UV_RPMS470_90deg_BSEE,scattering_shape,BX_XXX,UV,RPMS470,90deg,BSEE,scintillator,BX_XXX_UV_RPMS470_90deg_BSEE.csv.zip,BX_XXX_UV_RPMS470_90deg_BSEE.csv,,2000.0,,2000.0,201.0249786,,,,,,,,,0.0,0.0,0.0,False
BX_XXX_UV_RPMS470_90deg_BSEE,scattering_shape,BX_XXX,UV,RPMS470,90deg,BSEE,scintillator,BX_XXX_UV_RPMS470_90deg_BSEE.csv.zip,BX_XXX_UV_RPMS470_90deg_BSEE.csv,,2000.0,,2000.0,201.2290649,,,,,,,,,0.0,0.0,0.0,False
BX_XXX_UV_RPMS470_90deg_BSEE,scattering_shape,BX_XXX,UV,RPMS470,90deg,BSEE,scintillator,BX_XXX_UV_RPMS470_90deg_BSEE.csv.zip,BX_XXX_UV_RPMS470_90deg_BSEE.csv,,2000.0,,2000.0,201.4331818,,,,,,,,,0.0,0.0,0.0,False
BX_XXX_UV_RPMS470_90deg_BSEE,scattering_shape,BX_XXX,UV,RPMS470,90deg,BSEE,scintillator,BX_XXX_UV_RPMS470_90deg_BSEE.csv.zip,BX_XXX_UV_RPMS470_90deg_BSEE.csv,,2000.0,,2000.0,201.6372986,,,,,,,,,0.0,0.0,0.0,False
BX_XXX_UV_RPMS470_90deg_BSEE,scattering_shape,BX_XXX,UV,RPMS470,90deg,BSEE,scintillator,BX_XXX_UV_RPMS470_90deg_BSEE.csv.zip,BX_XXX_UV_RPMS470_90deg_BSEE.csv,,2000.0,,2000.0,201.8414307,,,,,,,,,0.0,0.0,0.0,False
BX_XXX_UV_RPMS470_90deg_BSEE,scattering_shape,BX_XXX,UV,RPMS470,90deg,BSEE,scintillator,BX_XXX_UV_RPMS470_90deg_BSEE.csv.zip,BX_XXX_UV_RPMS470_90deg_BSEE.csv,,2000.0,,2000.0,202.045578,,,,,,,,,0.0,0.0,0.0,False
BX_XXX_UV_RPMS470_90deg_BSEE,scattering_shape,BX_XXX,UV,RPMS470,90deg,BSEE,scintillator,BX_XXX_UV_RPMS470_90deg_BSEE.csv.zip,BX_XXX_UV_RPMS470_90deg_BSEE.csv,,2000.0,,2000.0,202.2497406,,,,,,,,,0.0,0.0,0.0,False
BX_XXX_UV_RPMS470_90deg_BSEE,scattering_shape,BX_XXX,UV,RPMS470,90deg,BSEE,scintillator,BX_XXX_UV_RPMS470_90deg_BSEE.csv.zip,BX_XXX_UV_RPMS470_90deg_BSEE.csv,,2000.0,,2000.0,202.4539185,,,,,,,,,0.0,0.0,0.0,False
BX_XXX_UV_RPMS470_90deg_BSEE,scattering_shape,BX_XXX,UV,RPMS470,90deg,BSEE,scintillator,BX_XXX_UV_RPMS470_90deg_BSEE.csv.zip,BX_XXX_UV_RPMS470_90deg_BSEE.csv,,2000.0,,2000.0,202.6581116,,,,,,,,,0.0,0.0,0.0,False
BX_XXX_UV_RPMS470_90deg_BSEE,scattering_shape,BX_XXX,UV,RPMS470,90deg,BSEE,scintillator,BX_XXX_UV_RPMS470_90deg_BSEE.csv.zip,BX_XXX_UV_RPMS470_90deg_BSEE.csv,,2000.0,,2000.0,202.8623199,,,,,,,,,0.0,0.0,0.0,False
BX_XXX_UV_RPMS470_90deg_BSEE,scattering_shape,BX_XXX,UV,RPMS470,90deg,BSEE,scintillator,BX_XXX_UV_RPMS470_90deg_BSEE.csv.zip,BX_XXX_UV_RPMS470_90deg_BSEE.csv,,2000.0,,2000.0,203.0665436,,,,,,,,,0.0,0.0,0.0,False
BX_XXX_UV_RPMS470_90deg_BSEE,scattering_shape,BX_XXX,UV,RPMS470,90deg,BSEE,scintillator,BX_XXX_UV_RPMS470_90deg_BSEE.csv.zip,BX_XXX_UV_RPMS470_90deg_BSEE.csv,,2000.0,,2000.0,203.2707825,,,,,,,,,0.0,0.0,0.0,False
BX_XXX_UV_RPMS470_90deg_BSEE,scattering_shape,BX_XXX,UV,RPMS470,90deg,BSEE,scintillator,BX_XXX_UV_RPMS470_90deg_BSEE.csv.zip,BX_XXX_UV_RPMS470_90deg_BSEE.csv,,2000.0,,2000.0,203.4750366,,,,,,,,,0.0,0.0,0.0,False
BX_XXX_UV_RPMS470_90deg_BSEE,scattering_shape,BX_XXX,UV,RPMS470,90deg,BSEE,scintillator,BX_XXX_UV_RPMS470_90deg_BSEE.csv.zip,BX_XXX_UV_RPMS470_90deg_BSEE.csv,,2000.0,,2000.0,203.679306,,,,,,,,,0.0,0.0,0.0,False
BX_XXX_UV_RPMS470_90deg_BSEE,scattering_shape,BX_XXX,UV,RPMS470,90deg,BSEE,scintillator,BX_XXX_UV_RPMS470_90deg_BSEE.csv.zip,BX_XXX_UV_RPMS470_90deg_BSEE.csv,,2000.0,,2000.0,203.8835907,,,,,,,,,0.0,0.0,0.0,False
BX_XXX_UV_RPMS470_90deg_BSEE,scattering_shape,BX_XXX,UV,RPMS470,90deg,BSEE,scintillator,BX_XXX_UV_RPMS470_90deg_BSEE.csv.zip,BX_XXX_UV_RPMS470_90deg_BSEE.csv,,2000.0,,2000.0,204.0878906,,,,,,,,,0.0,0.0,0.0,False
BX_XXX_UV_RPMS470_90deg_BSEE,scattering_shape,BX_XXX,UV,RPMS470,90deg,BSEE,scintillator,BX_XXX_UV_RPMS470_90deg_BSEE.csv.zip,BX_XXX_UV_RPMS470_90deg_BSEE.csv,,2000.0,,2000.0,204.2922058,,,,,,,,,0.0,0.0,0.0,False
BX_XXX_UV_RPMS470_90deg_BSEE,scattering_shape,BX_XXX,UV,RPMS470,90deg,BSEE,scintillator,BX_XXX_UV_RPMS470_90deg_BSEE.csv.zip,BX_XXX_UV_RPMS470_90deg_BSEE.csv,,2000.0,,2000.0,204.4965363,,,,,,,,,0.0,0.0,0.0,False
BX_XXX_UV_RPMS470_90deg_BSEE,scattering_shape,BX_XXX,UV,RPMS470,90deg,BSEE,scintillator,BX_XXX_UV_RPMS470_90deg_BSEE.csv.zip,BX_XXX_UV_RPMS470_90deg_BSEE.csv,,2000.0,,2000.0,204.700882,,,,,,,,,0.0,0.0,0.0,False
BX_XXX_UV_RPMS470_90deg_BSEE,scattering_shape,BX_XXX,UV,RPMS470,90deg,BSEE,scintillator,BX_XXX_UV_RPMS470_90deg_BSEE.csv.zip,BX_XXX_UV_RPMS470_90deg_BSEE.csv,,2000.0,,2000.0,204.9052429,,,,,,,,,0.0,0.0,0.0,False
BX_XXX_UV_RPMS470_90deg_BSEE,scattering_shape,BX_XXX,UV,RPMS470,90deg,BSEE,scintillator,BX_XXX_UV_RPMS470_90deg_BSEE.csv.zip,BX_XXX_UV_RPMS470_90deg_BSEE.csv,,2000.0,,2000.0,205.1096191,,,,,,,,,0.0,0.0,0.0,False
BX_XXX_UV_RPMS470_90deg_BSEE,scattering_shape,BX_XXX,UV,RPMS470,90deg,BSEE,scintillator,BX_XXX_UV_RPMS470_90deg_BSEE.csv.zip,BX_XXX_UV_RPMS470_90deg_BSEE.csv,,2000.0,,2000.0,205.3140106,,,,,,,,,0.0,0.0,0.0,False
BX_XXX_UV_RPMS470_90deg_BSEE,scattering_shape,BX_XXX,UV,RPMS470,90deg,BSEE,scintillator,BX_XXX_UV_RPMS470_90deg_BSEE.csv.zip,BX_XXX_UV_RPMS470_90deg_BSEE.csv,,2000.0,,2000.0,205.5184174,,,,,,,,,0.0,0.0,0.0,False
BX_XXX_UV_RPMS470_90deg_BSEE,scattering_shape,BX_XXX,UV,RPMS470,90deg,BSEE,scintillator,BX_XXX_UV_RPMS470_90deg_BSEE.csv.zip,BX_XXX_UV_RPMS470_90deg_BSEE.csv,,2000.0,,2000.0,205.7228394,,,,,,,,,0.0,0.0,0.0,False
BX_XXX_UV_RPMS470_90deg_BSEE,scattering_shape,BX_XXX,UV,RPMS470,90deg,BSEE,scintillator,BX_XXX_UV_RPMS470_90deg_BSEE.csv.zip,BX_XXX_UV_RPMS470_90deg_BSEE.csv,,2000.0,,2000.0,205.9272919,,,,,,,,,0.0,0.0,0.0,False
BX_XXX_UV_RPMS470_90deg_BSEE,scattering_shape,BX_XXX,UV,RPMS470,90deg,BSEE,scintillator,BX_XXX_UV_RPMS470_90deg_BSEE.csv.zip,BX_XXX_UV_RPMS470_90deg_BSEE.csv,,2000.0,,2000.0,206.1317444,,,,,,,,,0.0,0.0,0.0,False
BX_XXX_UV_RPMS470_90deg_BSEE,scattering_shape,BX_XXX,UV,RPMS470,90deg,BSEE,scintillator,BX_XXX_UV_RPMS470_90deg_BSEE.csv.zip,BX_XXX_UV_RPMS470_90deg_BSEE.csv,,2000.0,,2000.0,206.3362122,,,,,,,,,0.0,0.0,0.0,False
