analysis_type,comparison_id,dataset_id,sample_id,dose_label,role,reference_dataset_id,current_value,current_unit,geometry,wavelength_nm,sample_signal_raw,blank_signal_raw,sample_signal_net,blank_signal_net,sample_signal_gated,blank_signal_gated,sample_above_floor,blank_above_floor,valid_ratio_region,absolute_signal_difference,fractional_signal_loss,transmittance,transmittance_smooth,absorbance,absorbance_smooth,attenuation_coeff_1_per_mm,attenuation_coeff_1_per_mm_smooth,trusted_for_integrals,note,sample_shape_norm,sample_shape_norm_smooth,scattering_signal_raw,scattering_signal_gated,scattering_blank_signal_gated,scattering_signal_net,scattering_shape_norm,scattering_shape_norm_smooth
same_current_transmittance,sample_whiteLED_direct_40uA_test_vs_direct_blank,sample_whiteLED_direct_40uA_test,scintillator_test,test_format,sample,direct_blank,40.0,uA,direct,536.7802124,0.08494694531,0.3802263439,0.0851455460946,0.3804776190671,0.0851455460946,0.3804776190671,True,True,True,0.29533207297249997,0.7762140482707763,0.2237859517292237,0.22414811984788136,0.6501671799970064,0.6495690485966192,0.14970652566150833,0.14956880081689006,True,Same-current direct transmittance after residual-baseline subtraction and noise-floor gating.,,,,,,,,
same_current_transmittance,sample_whiteLED_direct_40uA_test_vs_direct_blank,sample_whiteLED_direct_40uA_test,scintillator_test,test_format,sample,direct_blank,40.0,uA,direct,537.0054321,0.08614863455,0.381377548,0.08634723533460001,0.3816288231671,0.08634723533460001,0.3816288231671,True,True,True,0.2952815878325,0.7737402677868699,0.22625973221313006,0.22409258742699967,0.6453927312142222,0.6496676369032155,0.1486071682020581,0.14959150161340123,True,Same-current direct transmittance after residual-baseline subtraction and noise-floor gating.,,,,,,,,
same_current_transmittance,sample_whiteLED_direct_40uA_test_vs_direct_blank,sample_whiteLED_direct_40uA_test,scintillator_test,test_format,sample,direct_blank,40.0,uA,direct,537.2307129,0.08676482737,0.3895074129,0.08696342815460001,0.3897586880671,0.08696342815460001,0.3897586880671,True,True,True,0.3027952599125,0.7768787949644664,0.22312120503553362,0.22406491775910517,0.6514591531931113,0.6497130892036934,0.15000401348369824,0.14960196739235354,True,Same-current direct transmittance after residual-baseline subtraction and noise-floor gating.,,,,,,,,
same_current_transmittance,sample_whiteLED_direct_40uA_test_vs_direct_blank,sample_whiteLED_direct_40uA_test,scintillator_test,test_format,sample,direct_blank,40.0,uA,direct,537.4559326,0.0817233026,0.383779496,0.08192190338460001,0.3840307711671,0.08192190338460001,0.3840307711671,True,True,True,0.3021088677825,0.7866788040561623,0.21332119594383764,0.22416355849763614,0.6709659901947047,0.6495098106544703,0.1544956286928316,0.1495551607766369,True,Same-current direct transmittance after residual-baseline subtraction and noise-floor gating.,,,,,,,,
same_current_transmittance,sample_whiteLED_direct_40uA_test_vs_direct_blank,sample_whiteLED_direct_40uA_test,scintillator_test,test_format,sample,direct_blank,40.0,uA,direct,537.6812134,0.086627312,0.3861957192,0.0868259127846,0.3864469943671,0.0868259127846,0.3864469943671,True,True,True,0.2996210815825,0.7753225822682401,0.22467741773175992,0.2246495644295476,0.6484405762116514,0.6485649163334584,0.14930896044774178,0.1493375908188352,True,Same-current direct transmittance after residual-baseline subtraction and noise-floor gating.,,,,,,,,
same_current_transmittance,sample_whiteLED_direct_40uA_test_vs_direct_blank,sample_whiteLED_direct_40uA_test,scintillator_test,test_format,sample,direct_blank,40.0,uA,direct,537.9064331,0.08950983733,0.3872438371,0.0897084381146,0.3874951122671,0.0897084381146,0.3874951122671,True,True,True,0.2977866741525,0.768491433118351,0.23150856688164898,0.22483857226855286,0.6354329334555844,0.64818539610557,0.14631384001723063,0.1492502030569126,True,Same-current direct transmittance after residual-baseline subtraction and noise-floor gating.,,,,,,,,
same_current_transmittance,sample_whiteLED_direct_40uA_test_vs_direct_blank,sample_whiteLED_direct_40uA_test,scintillator_test,test_format,sample,direct_blank,40.0,uA,direct,538.1317139,0.08810263127,0.3842402399,0.0883012320546,0.3844915150671,0.0883012320546,0.3844915150671,True,True,True,0.2961902830125,0.7703428330812709,0.22965716691872903,0.22428664476788854,0.6389199969924588,0.6492935193877782,0.14711676606906363,0.14950535787199387,True,Same-current direct transmittance after residual-baseline subtraction and noise-floor gating.,,,,,,,,
same_current_transmittance,sample_whiteLED_direct_40uA_test_vs_direct_blank,sample_whiteLED_direct_40uA_test,scintillator_test,test_format,sample,direct_blank,40.0,uA,direct,538.3570557,0.08849758655,0.3847213984,0.0886961873346,0.3849726735671,0.0886961873346,0.3849726735671,True,True,True,0.2962764862325,0.7696039396439384,0.23039606035606164,0.22456757400420427,0.6375249513783885,0.6487587614111971,0.1467955449455631,0.14938222529747033,True,Same-current direct transmittance after residual-baseline subtraction and noise-floor gating.,,,,,,,,
same_current_transmittance,sample_whiteLED_direct_40uA_test_vs_direct_blank,sample_whiteLED_direct_40uA_test,scintillator_test,test_format,sample,direct_blank,40.0,uA,direct,538.5823364,0.08882228285,0.3855256438,0.0890208836346,0.3857769189671,0.0890208836346,0.3857769189671,True,True,True,0.29675603533249995,0.7692425874701126,0.23075741252988732,0.22455064419781925,0.6368443394066156,0.6487882301749134,0.14663882824753136,0.14938901073107455,True,Same-current direct transmittance after residual-baseline subtraction and noise-floor gating.,,,,,,,,
same_current_transmittance,sample_whiteLED_direct_40uA_test_vs_direct_blank,sample_whiteLED_direct_40uA_test,scintillator_test,test_format,sample,direct_blank,40.0,uA,direct,538.8076782,0.08650691807,0.3891288936,0.0867055188546,0.3893801687671,0.0867055188546,0.3893801687671,True,True,True,0.30267464991250004,0.7773242558059983,0.22267574419400177,0.22482167663838273,0.6523270875749213,0.6482611653284989,0.15020386276062353,0.14926764956523497,True,Same-current direct transmittance after residual-baseline subtraction and noise-floor gating.,,,,,,,,
